Timestamp,Consumption,Generation,Price_buy,Price_buy2,Price_buy4,Price_sold,Power,Period,Price_shed
01:00:00 PM,2.1,1.79575,0.1227026989757,0.2454053979514,0.4908107959028,0.04977,1.5,3,1
01:15:00 PM,2,1.8325,0.1227026989757,0.2454053979514,0.4908107959028,0.04977,1.5,3,1
01:30:00 PM,2.1,1.872,0.1227026989757,0.2454053979514,0.4908107959028,0.04977,1.5,3,1
01:45:00 PM,2,1.8885,0.1227026989757,0.2454053979514,0.4908107959028,0.04977,1.5,3,1
02:00:00 PM,2.1,1.9395,0.12010402712825,0.12010402712825,0.12010402712825,0.04712,1.5,2,1
02:15:00 PM,2.1,1.9425,0.12010402712825,0.12010402712825,0.12010402712825,0.04712,1.5,2,1
02:30:00 PM,2.1,1.96225,0.12010402712825,0.12010402712825,0.12010402712825,0.04712,1.5,2,1
02:45:00 PM,2.1,1.96175,0.12010402712825,0.12010402712825,0.12010402712825,0.04712,1.5,2,1
03:00:00 PM,2,1.915,0.1203505874468,0.1203505874468,0.1203505874468,0.047,1.5,2,1
03:15:00 PM,2,1.90075,0.1203505874468,0.1203505874468,0.1203505874468,0.047,1.5,2,1
03:30:00 PM,2.1,1.85925,0.1203505874468,0.1203505874468,0.1203505874468,0.047,1.5,2,1
03:45:00 PM,2.4,1.84475,0.1203505874468,0.1203505874468,0.1203505874468,0.047,1.5,2,1
04:00:00 PM,2.4,1.7815,0.12199476066315,0.12199476066315,0.12199476066315,0.04858,1.5,2,1
04:15:00 PM,2.3,1.67225,0.12199476066315,0.12199476066315,0.12199476066315,0.04858,1.5,2,1
04:30:00 PM,2.4,1.65025,0.12199476066315,0.12199476066315,0.12199476066315,0.04858,1.5,2,1
04:45:00 PM,2.4,1.5645,0.12199476066315,0.12199476066315,0.12199476066315,0.04858,1.5,2,1
05:00:00 PM,2.1,1.4535,0.12263987541875,0.12263987541875,0.12263987541875,0.04927,1.5,2,1
05:15:00 PM,2,1.355,0.12263987541875,0.12263987541875,0.12263987541875,0.04927,1.5,2,1
05:30:00 PM,2,1.15925,0.12263987541875,0.12263987541875,0.12263987541875,0.04927,1.5,2,1
05:45:00 PM,1.8,1.07125,0.12263987541875,0.12263987541875,0.12263987541875,0.04927,1.5,2,1
06:00:00 PM,1.7,0.94575,0.1212859671928,0.2425719343856,0.4851438687712,0.04803,1.5,3,1
06:15:00 PM,1.2,0.8155,0.1212859671928,0.2425719343856,0.4851438687712,0.04803,1.5,3,1
06:30:00 PM,0.9,0.6605,0.1212859671928,0.2425719343856,0.4851438687712,0.04803,1.5,3,1
06:45:00 PM,0.8,0.50325,0.1212859671928,0.2425719343856,0.4851438687712,0.04803,1.5,3,1
07:00:00 PM,0.8,0.353,0.1193285517104,0.2386571034208,0.4773142068416,0.04619,1.5,3,1
07:15:00 PM,0.9,0.189,0.1193285517104,0.2386571034208,0.4773142068416,0.04619,1.5,3,1
07:30:00 PM,0.8,0.081,0.1193285517104,0.2386571034208,0.4773142068416,0.04619,1.5,3,1
07:45:00 PM,0.8,0.02075,0.1193285517104,0.2386571034208,0.4773142068416,0.04619,1.5,3,1
08:00:00 PM,0.8,0,0.121091072658,0.242182145316,0.484364290632,0.04808,1.5,3,1
08:15:00 PM,0.9,0,0.121091072658,0.242182145316,0.484364290632,0.04808,1.5,3,1
08:30:00 PM,0.8,0,0.121091072658,0.242182145316,0.484364290632,0.04808,1.5,3,1
08:45:00 PM,0.8,0,0.121091072658,0.242182145316,0.484364290632,0.04808,1.5,3,1
09:00:00 PM,0.8,0,0.1234676987105,0.246935397421,0.493870794842,0.05002,1.5,3,1
09:15:00 PM,0.9,0,0.1234676987105,0.246935397421,0.493870794842,0.05002,1.5,3,1
09:30:00 PM,0.8,0,0.1234676987105,0.246935397421,0.493870794842,0.05002,1.5,3,1
09:45:00 PM,0.8,0,0.1234676987105,0.246935397421,0.493870794842,0.05002,1.5,3,1
10:00:00 PM,0.8,0,0.11751104615235,0.11751104615235,0.11751104615235,0.04435,1.5,2,1
10:15:00 PM,0.8,0,0.11751104615235,0.11751104615235,0.11751104615235,0.04435,1.5,2,1
10:30:00 PM,0.7,0,0.11751104615235,0.11751104615235,0.11751104615235,0.04435,1.5,2,1
10:45:00 PM,0.8,0,0.11751104615235,0.11751104615235,0.11751104615235,0.04435,1.5,2,1
11:00:00 PM,0.8,0,0.1135625077176,0.1135625077176,0.1135625077176,0.04001,1.5,2,1
11:15:00 PM,0.7,0,0.1135625077176,0.1135625077176,0.1135625077176,0.04001,1.5,2,1
11:30:00 PM,0.8,0,0.1135625077176,0.1135625077176,0.1135625077176,0.04001,1.5,2,1
11:45:00 PM,0.7,0,0.1135625077176,0.1135625077176,0.1135625077176,0.04001,1.5,2,1
